
2024/06/18 (18:30:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (18:31:23) | ===> btop++ v.1.3.2
2024/06/18 (18:31:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (19:12:39) | ===> btop++ v.1.3.2
2024/06/18 (19:12:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (19:12:49) | ===> btop++ v.1.3.2
2024/06/18 (19:12:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (19:13:08) | ===> btop++ v.1.3.2
2024/06/18 (19:13:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (19:13:11) | ===> btop++ v.1.3.2
2024/06/18 (19:13:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (19:13:21) | ===> btop++ v.1.3.2
2024/06/18 (19:13:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (19:13:28) | ===> btop++ v.1.3.2
2024/06/18 (19:13:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (19:14:04) | ===> btop++ v.1.3.2
2024/06/18 (19:14:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (19:14:26) | ===> btop++ v.1.3.2
2024/06/18 (19:14:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (19:14:30) | ===> btop++ v.1.3.2
2024/06/18 (19:14:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (19:14:33) | ===> btop++ v.1.3.2
2024/06/18 (19:14:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (19:15:30) | ===> btop++ v.1.3.2
2024/06/18 (19:15:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (19:15:45) | ===> btop++ v.1.3.2
